	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11
f0	53.0	32.0	52.0	51.0	57.0	59.0	165.0	177.0	138.0	162.0	156.0	162.0
f1	54.0	41.0	50.0	50.0	63.0	51.0	156.0	144.0	132.0	114.0	168.0	180.0
f2	46.0	49.0	44.0	48.0	39.0	46.0	141.0	147.0	150.0	198.0	168.0	153.0
f3	48.0	40.0	60.0	50.0	45.0	49.0	156.0	165.0	168.0	189.0	174.0	141.0
f4	45.0	60.0	40.0	52.0	57.0	45.0	171.0	204.0	153.0	174.0	144.0	144.0
f5	38.0	45.0	65.0	59.0	47.0	56.0	135.0	180.0	138.0	189.0	177.0	123.0
f6	55.0	48.0	51.0	43.0	50.0	46.0	162.0	156.0	207.0	150.0	126.0	108.0
f7	38.0	59.0	62.0	62.0	37.0	59.0	150.0	162.0	162.0	150.0	117.0	129.0
f8	57.0	57.0	53.0	47.0	50.0	60.0	162.0	171.0	171.0	141.0	153.0	144.0
f9	55.0	41.0	58.0	50.0	62.0	59.0	135.0	153.0	144.0	147.0	144.0	162.0
f10	61.0	51.0	51.0	42.0	56.0	52.0	55.0	43.0	51.0	61.0	54.0	42.0
f11	47.0	65.0	50.0	42.0	56.0	44.0	55.0	52.0	44.0	62.0	52.0	41.0
f12	47.0	57.0	49.0	37.0	52.0	75.0	49.0	44.0	53.0	38.0	50.0	32.0
f13	65.0	58.0	48.0	58.0	58.0	57.0	55.0	48.0	39.0	45.0	42.0	53.0
f14	51.0	56.0	52.0	54.0	40.0	48.0	54.0	55.0	49.0	44.0	54.0	51.0
f15	50.0	45.0	54.0	52.0	64.0	42.0	60.0	43.0	56.0	43.0	50.0	44.0
f16	51.0	37.0	57.0	45.0	47.0	51.0	53.0	51.0	53.0	47.0	51.0	52.0
f17	48.0	38.0	64.0	52.0	58.0	49.0	50.0	46.0	41.0	49.0	52.0	55.0
f18	58.0	42.0	49.0	43.0	59.0	50.0	55.0	45.0	51.0	49.0	46.0	53.0
f19	59.0	54.0	53.0	42.0	40.0	51.0	57.0	47.0	44.0	44.0	63.0	48.0
