	s0	s6	s1	s7	s2	s8	s3	s9	s4	s10	s5	s11
f0	53.0	165.0	32.0	177.0	52.0	138.0	51.0	162.0	57.0	156.0	59.0	162.0
f1	54.0	156.0	41.0	144.0	50.0	132.0	50.0	114.0	63.0	168.0	51.0	180.0
f2	46.0	141.0	49.0	147.0	44.0	150.0	48.0	198.0	39.0	168.0	46.0	153.0
f3	48.0	156.0	40.0	165.0	60.0	168.0	50.0	189.0	45.0	174.0	49.0	141.0
f4	45.0	171.0	60.0	204.0	40.0	153.0	52.0	174.0	57.0	144.0	45.0	144.0
f5	38.0	135.0	45.0	180.0	65.0	138.0	59.0	189.0	47.0	177.0	56.0	123.0
f6	55.0	162.0	48.0	156.0	51.0	207.0	43.0	150.0	50.0	126.0	46.0	108.0
f7	38.0	150.0	59.0	162.0	62.0	162.0	62.0	150.0	37.0	117.0	59.0	129.0
f8	57.0	162.0	57.0	171.0	53.0	171.0	47.0	141.0	50.0	153.0	60.0	144.0
f9	55.0	135.0	41.0	153.0	58.0	144.0	50.0	147.0	62.0	144.0	59.0	162.0
f10	61.0	55.0	51.0	43.0	51.0	51.0	42.0	61.0	56.0	54.0	52.0	42.0
f11	47.0	55.0	65.0	52.0	50.0	44.0	42.0	62.0	56.0	52.0	44.0	41.0
f12	47.0	49.0	57.0	44.0	49.0	53.0	37.0	38.0	52.0	50.0	75.0	32.0
f13	65.0	55.0	58.0	48.0	48.0	39.0	58.0	45.0	58.0	42.0	57.0	53.0
f14	51.0	54.0	56.0	55.0	52.0	49.0	54.0	44.0	40.0	54.0	48.0	51.0
f15	50.0	60.0	45.0	43.0	54.0	56.0	52.0	43.0	64.0	50.0	42.0	44.0
f16	51.0	53.0	37.0	51.0	57.0	53.0	45.0	47.0	47.0	51.0	51.0	52.0
f17	48.0	50.0	38.0	46.0	64.0	41.0	52.0	49.0	58.0	52.0	49.0	55.0
f18	58.0	55.0	42.0	45.0	49.0	51.0	43.0	49.0	59.0	46.0	50.0	53.0
f19	59.0	57.0	54.0	47.0	53.0	44.0	42.0	44.0	40.0	63.0	51.0	48.0
