	s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11
f0	53	32	52	51	57	59	165	177	138	162	156	162
f1	54	41	50	50	63	51	156	144	132	114	168	180
f2	46	49	44	48	39	46	141	147	150	198	168	153
f3	48	40	60	50	45	49	156	165	168	189	174	141
f4	45	60	40	52	57	45	171	204	153	174	144	144
f5	38	45	65	59	47	56	135	180	138	189	177	123
f6	55	48	51	43	50	46	162	156	207	150	126	108
f7	38	59	62	62	37	59	150	162	162	150	117	129
f8	57	57	53	47	50	60	162	171	171	141	153	144
f9	55	41	58	50	62	59	135	153	144	147	144	162
f10	61	51	51	42	56	52	55	43	51	61	54	42
f11	47	65	50	42	56	44	55	52	44	62	52	41
f12	47	57	49	37	52	75	49	44	53	38	50	32
f13	65	58	48	58	58	57	55	48	39	45	42	53
f14	51	56	52	54	40	48	54	55	49	44	54	51
f15	50	45	54	52	64	42	60	43	56	43	50	44
f16	51	37	57	45	47	51	53	51	53	47	51	52
f17	48	38	64	52	58	49	50	46	41	49	52	55
f18	58	42	49	43	59	50	55	45	51	49	46	53
f19	59	54	53	42	40	51	57	47	44	44	63	48
